date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:45	104/104	---M-Z	200	added ('OK')	text/plain	etag:%22db1d48e328b51b9b0439ed13edcc4b63%22	https://mighty-slider-644056.framer.app/robots.txt		(from )
17:56:45	562913/562913	---M-Z	200	added ('OK')	text/html	etag:%22038375581d7f41ff3334248777326d41%22	https://mighty-slider-644056.framer.app/	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/mighty-slider-644056.framer.app/index.html	(from )
17:56:45	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://mighty-slider-644056.framer.app/)
17:56:45	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://mighty-slider-644056.framer.app/)
17:56:46	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://mighty-slider-644056.framer.app/)
17:56:46	641916/641916	---MCZ	200	added ('OK')	text/javascript	etag:W/%22d1815dfac73fe45dfdecd926770ecac2%22	https://framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-L5OYT25A.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-L5OYT25A.mjs	(from https://mighty-slider-644056.framer.app/)
17:56:47	1190/1190	---MCZ	200	added ('OK')	text/javascript	etag:W/%228dc2caa5dfa40c0964a44a081b0b17d9%22	https://framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-JR5VT52U.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-JR5VT52U.mjs	(from https://mighty-slider-644056.framer.app/)
17:56:47	447/447	---M--	200	added ('OK')	text/javascript	etag:%2230ed32fa3444df726bb60d89113cf478%22	https://framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-RIUMFBNJ.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-RIUMFBNJ.mjs	(from https://mighty-slider-644056.framer.app/)
17:56:48	371608/371608	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ad70c3fb1a70c56068dbe026ede8133d%22	https://framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/Vzdz7tnUB_vqFdn7jCxE507Z1ZdWiHGA6LBzyDpxTjM.P2TIUK7G.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/Vzdz7tnUB_vqFdn7jCxE507Z1ZdWiHGA6LBzyDpxTjM.P2TIUK7G.mjs	(from https://mighty-slider-644056.framer.app/)
17:56:48	867/867	---M--	200	added ('OK')	text/javascript	etag:%221861ef5b02bf91630fd0cf6c6f3ade44%22	https://framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-YAMWVKYW.mjs	C:/Users/mkhal/OneDrive/Desktop/LARP/MIGHTYslider/framerusercontent.com/sites/4TqAJSQdtX8YjVSpwPMfq9/chunk-YAMWVKYW.mjs	(from https://mighty-slider-644056.framer.app/)
